text,label,semester
define an algorithm,1,1
describe the concept of data structures,1,1
find the maximum value in an array,1,1
how does a binary search tree work?,1,1
list the basic data types in c,1,1
name the types of software testing,1,1
what is a pointer?,1,1
where is memory allocation used?,1,1
which sorting algorithm is the fastest?,1,1
why is recursion important?,1,1
draw a flowchart for bubble sort,1,1
write a program to add two numbers,1,1
compare different sorting algorithms,2,1
demonstrate the use of linked lists,2,1
discuss the advantages of arrays,2,1
distinguish between a stack and a queue,2,1
explain the concept of a binary tree,2,1
illustrate the quicksort algorithm,2,1
outline the steps of the insertion sort algorithm,2,1
show how to implement a queue,2,1
summarize the process of memory allocation,2,1
compute the time complexity of merge sort,3,1
develop a program to implement a stack,3,1
analyze the performance of different sorting algorithms,3,1
identify the key features of object-oriented programming,3,1
make use of recursion to solve problems,3,1
select the appropriate data structure for a given problem,3,1
solve the problem of finding the shortest path in a graph,3,1
utilize pointers in a c program,3,1
draw the structure of a binary search tree,3,1
illustrate the concept of dynamic memory allocation,3,1
classify different types of databases,4,1
characterize the properties of a binary tree,4,1
categorize different types of sorting algorithms,4,1
compare the features of a stack and a queue,4,1
derive the time complexity of quicksort,4,1
distinguish between static and dynamic memory allocation,4,1
examine the principles of software engineering,4,1
inference the use of different data structures in real-world applications,4,1
organize the different phases of the software development life cycle,4,1
simplify the process of dynamic memory allocation,4,1
test for the correctness of a sorting algorithm,4,1
identify the key components of a computer system,4,1
investigate the different types of databases,4,1
assess the efficiency of different sorting algorithms,5,1
choose the best data structure for a given problem,5,1
compare the performance of various algorithms,5,1
decide on the most appropriate programming language for a project,5,1
determine the time complexity of a given algorithm,5,1
estimate the memory requirements for a program,5,1
evaluate the effectiveness of a software testing strategy,5,1
explain the trade-offs between different types of databases,5,1
interpret the results of a performance analysis,5,1
justify the use of a particular data structure,5,1
measure the efficiency of different algorithms,5,1
prioritize the tasks in a software development project,5,1
prove the correctness of an algorithm,5,1
rate the usability of different programming languages,5,1
recommend an optimization strategy for a program,5,1
build a simple compiler,6,1
compose a program to manage a library system,6,1
construct a binary search tree,6,1
create a new sorting algorithm,6,1
design a database schema for an e-commerce website,6,1
develop a software application,6,1
discuss the design of a new operating system,6,1
elaborate on the implementation of a linked list,6,1
estimate the effort required to complete a software project,6,1
formulate a new algorithm for data compression,6,1
improve the performance of an existing algorithm,6,1
maximize the efficiency of a program,6,1
modify an existing data structure to improve performance,6,1
predict the outcome of a change in an algorithm,6,1
invent a new data structure,6,1
define the concept of operating systems,1,2
describe the functions of an operating system,1,2
find the role of a cpu in a computer system,1,2
"how does virtual memory work?,",1,2
list the types of operating systems,1,2
name the scheduling algorithms used in operating systems,1,2
"what is a process?,",1,2
"where is paging used?,",1,2
which operating system is most widely used?,1,2
"why is deadlock a problem?,",1,2
draw the process state diagram,1,2
write a shell script,1,2
compare different cpu scheduling algorithms,2,2
demonstrate the concept of process synchronization,2,2
discuss the advantages of using virtual memory,2,2
distinguish between paging and segmentation,2,2
explain the concept of deadlock,2,2
illustrate the working of a round-robin scheduling algorithm,2,2
outline the steps of the process creation,2,2
show how to manage memory using paging,2,2
summarize the benefits of multi-threading,2,2
compute the turnaround time of a scheduling algorithm,3,2
develop a program to implement the round-robin scheduling,3,2
analyze the performance of different memory management techniques,3,2
identify the key features of a distributed operating system,3,2
make use of semaphores for process synchronization,3,2
select an appropriate scheduling algorithm for a given scenario,3,2
solve the problem of deadlock detection,3,2
utilize virtual memory in a program,3,2
draw the memory layout of a process,3,2
illustrate the concept of multi-threading,3,2
classify different types of file systems,4,2
characterize the features of a real-time operating system,4,2
categorize different memory management techniques,4,2
compare the features of different operating systems,4,2
derive the response time of a scheduling algorithm,4,2
distinguish between hard and soft real-time systems,4,2
examine the principles of process management,4,2
inference the use of different scheduling algorithms in real-world applications,4,2
organize the different components of an operating system,4,2
simplify the process of process synchronization,4,2
test for the occurrence of deadlock,4,2
identify the key features of a network operating system,4,2
investigate the different types of file systems,4,2
assess the performance of different scheduling algorithms,5,2
choose the best memory management technique for a given scenario,5,2
compare the performance of various operating systems,5,2
decide on the most appropriate file system for a project,5,2
determine the efficiency of a given scheduling algorithm,5,2
estimate the memory requirements for an operating system,5,2
evaluate the effectiveness of process synchronization techniques,5,2
explain the trade-offs between different memory management techniques,5,2
interpret the results of a scheduling algorithm analysis,5,2
justify the use of a particular scheduling algorithm,5,2
measure the performance of different operating systems,5,2
prioritize the tasks in an operating system design project,5,2
prove the correctness of a process synchronization technique,5,2
rate the usability of different file systems,5,2
recommend an optimization strategy for an operating system,5,2
build a custom operating system,6,2
compose a program to manage processes,6,2
construct a new file system,6,2
create a new scheduling algorithm,6,2
design a memory management module for an operating system,6,2
develop a multi-threaded application,6,2
discuss the design of a distributed operating system,6,2
elaborate on the implementation of a file system,6,2
estimate the effort required to complete an operating system project,6,2
formulate a new algorithm for deadlock detection,6,2
improve the performance of an existing scheduling algorithm,6,2
maximize the efficiency of a memory management technique,6,2
modify an existing operating system to improve performance,6,2
predict the outcome of a change in a scheduling algorithm,6,2
invent a new memory management technique,6,2
define the concept of database systems,1,3
describe the functions of a database management system,1,3
find the role of a dbms in a computer system,1,3
"how does a relational database work?,",1,3
list the types of databases,1,3
name the normalization forms used in database design,1,3
"what is a primary key?,",1,3
"where is sql used?,",1,3
"which database model is most widely used?,",1,3
"why is indexing important?,",1,3
draw an er diagram,1,3
write an sql query to retrieve data,1,3
compare different database models,2,3
demonstrate the concept of normalization,2,3
discuss the advantages of using a relational database,2,3
distinguish between a primary key and a foreign key,2,3
explain the concept of a join operation,2,3
illustrate the use of sql in database management,2,3
outline the steps of database design,2,3
show how to create a table in sql,2,3
summarize the process of database normalization,2,3
compute the result of a join operation,3,3
develop a database schema for an e-commerce website,3,3
analyze the performance of different indexing techniques,3,3
identify the key features of a nosql database,3,3
make use of sql to manage a database,3,3
select an appropriate database model for a given scenario,3,3
solve the problem of database redundancy,3,3
utilize indexing to improve database performance,3,3
draw an er diagram for a university database,3,3
illustrate the concept of a transaction in a dbms,3,3
classify different types of databases,4,3
characterize the properties of a relational database,4,3
categorize different normalization forms,4,3
compare the features of different database models,4,3
derive the result of a complex sql query,4,3
distinguish between sql and nosql databases,4,3
examine the principles of database management,4,3
inference the use of different database models in real-world applications,4,3
